day,pRate
2015-11-03,167.0
2015-11-04,78.0
2015-11-05,167.666666667
2015-11-06,204.0
2015-11-07,484.5
2015-11-08,842.0
2015-11-09,969.0
2015-11-10,969.0
2015-11-11,595.5
2015-11-12,547.444444444
2015-11-13,143.25
2015-11-16,416.25
2015-11-17,147.2
2015-11-18,133.142857143
2015-11-19,552.6
2015-11-20,412.571428571
2015-11-21,79.8333333333
2015-11-22,262.25
2015-11-23,367.666666667
2015-11-24,557.833333333
2015-11-25,192.75
2015-11-26,411.666666667
2015-11-27,99.0
2015-11-28,304.666666667
2015-11-29,807.0
2015-11-30,131.0
2015-12-01,100.6
2015-12-02,122.2
2015-12-03,58.0
2015-12-04,68.8333333333
2015-12-05,29.6666666667
2015-12-08,133.4
2015-12-09,407.285714286
2015-12-10,99.3333333333
2015-12-11,168.875
2015-12-12,96.3
2015-12-14,493.75
2015-12-15,155.666666667
2015-12-16,48.6666666667
2015-12-17,54.3333333333
2015-12-18,64.0
